LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID90177,90177,0,0.8967309594154358,308.5919675807682,278.6791685300144,0.0,0.0,0,10.008228682184074,1,,179.32188726547804,191.49130249023438,-37.3504638671875,371.7539367675781,131084.29959106445,68.59879090416527,2.341987641174066,1.0225372314453125,-66.33413696289062,156.79776000976562,1711.9929656982422,23.64552722487612,516.9168910745394,528.4177856445312,72.98480224609375,849.861328125,377866.2473754883,113.15477271078298,0.7878631305215525,2.3038985131434155,-0.6214064281868134,-0.32513827587941524,0.8007238694148028,4.062688233147048,0.008983914187475725,-0.013277848788543526,12.36892929039443,8.174691635238865,-0.9262073870953912,1.5130759473636106,314.6765014299849,65.81908970067832,0.9127890760062097,0.9884901828029794,3.7103913176786394
ID90176,90176,1,0.8989783525466919,139.24324321506103,178.21791447858692,0.0,0.0,0,8.639631912588372,1,,270.69675902206535,280.9061279296875,17.58477783203125,504.2551574707031,148341.8239440918,97.71619436186529,2.050980310370452,0.632354736328125,-48.06103515625,69.46942138671875,1123.9372100830078,20.606541570649323,1642.8566704631721,1700.0684814453125,99.01519775390625,2671.171875,900285.4554138184,479.3287359440886,0.9116501177301986,2.642203670870811,-0.651565782132345,-0.37224069271845,0.9275423898004941,3.298572500822731,0.031211697122943447,0.023438850401371242,11.13516665133527,6.7662504245215,0.6562498867281475,1.645692363229777,234.4986531204273,57.83376279016283,0.8810231453604723,0.9864007252946507,3.776689432340204
ID90179,90179,2,0.8905441761016846,179.31992164857385,182.86563615408554,0.0,0.0,0,8.655499018540773,1,,238.33899587273382,253.36962890625,-39.453125,485.2981262207031,130848.10873413086,91.32760696320071,1.244662369969547,0.3561553955078125,-62.75450134277344,66.89691162109375,683.3196411132812,19.82753693744343,1627.5127852531948,1669.005126953125,121.92596435546875,2736.88623046875,893504.5191040039,489.9291506731729,0.8977944648089334,2.469168743946756,-0.6958280172317912,-0.28720731068421734,0.9428261086787445,3.2241763893973743,-0.017519984098897944,-0.04837182165474856,11.485916620281715,6.59134544277938,0.4210792388014508,1.7425754301595877,235.36078052160516,58.66761047797443,0.8593046461629125,0.9918256130790188,3.824118592401
ID90178,90178,3,0.8936812877655029,119.22987279720391,184.88592795528518,0.0,0.0,0,8.567866306599518,1,,119.96080045664355,118.37200927734375,-39.185333251953125,306.4990234375,64059.067443847656,58.35812638505671,3.4704218660847523,2.949798583984375,-66.9620361328125,83.58743286132812,1853.2052764892578,21.412537607326026,1583.3996065404085,1634.47021484375,228.51296997070312,2565.52734375,845535.3898925781,462.57584732047115,0.4612027999429998,1.2976257346369031,-0.4913256387373721,-0.31309325161167934,0.7218694891593469,2.870093405928728,0.01015067128014169,0.017561057443177146,10.556974012116452,7.0090099264336825,0.6149149914985155,1.506200465247171,230.61907981512587,56.26722292509742,0.9153646505983775,0.9953488372093023,3.7051676500889332
ID90181,90181,4,0.8894264698028564,185.54586399108865,275.50678671277905,0.0,0.0,0,9.684228978727363,1,,148.31317508987516,152.67080688476562,-76.80831909179688,336.63751220703125,101446.21176147461,68.58366956060733,-0.46673570599472314,-1.2154083251953125,-55.58363342285156,87.50184631347656,-319.2472229003906,20.46589440552899,1208.7234781276413,1221.2529296875,61.1614990234375,2162.27978515625,826766.8590393066,329.28383523811084,1.127416945255975,2.2920334617281743,-1.4926222170526189,-0.13819941356344315,0.9817230424644131,3.6369101136842934,-0.016916389849780424,-0.030844534001006604,11.606256608260376,8.156397944389699,0.942293949485598,1.422963505139377,294.63203935259554,62.943616414517805,0.9345153786187381,0.9956300072833209,3.6670067188522104
ID90180,90180,5,0.8901411294937134,290.4456057213737,276.4875832059889,0.0,0.0,0,9.077208183258168,1,,146.2707272771955,152.8336181640625,-54.5174560546875,303.9366149902344,88640.06072998047,63.334714588310256,1.6103222787183504,-0.668365478515625,-51.021484375,73.91795349121094,975.8553009033203,22.593596691440094,402.899562067718,410.39886474609375,9.64801025390625,708.691650390625,244157.1346130371,113.58568831837127,0.8427363492157444,2.1123900951424504,-0.7188776584197327,-0.3645163811664249,0.7816693488585085,3.1124268326150726,-0.05698840629654996,-0.09857685210900935,10.826238777929738,7.68589133170464,-1.3568657550771421,1.4085859805577823,258.8537522037068,60.00801339193846,0.9033287443969826,0.992561983471075,3.729769704695009
ID90183,90183,6,0.888416051864624,67.74691358937237,198.12350814277565,0.0,0.0,0,7.707965076826237,1,,333.06845671074575,356.1839904785156,-12.52490234375,598.7852783203125,145883.98403930664,133.25685449844977,8.794243451122824,8.121368408203125,-52.28227233886719,74.07037353515625,3851.878631591797,19.108203789614596,1692.2678997440426,1770.53759765625,181.41958618164062,2814.24951171875,741213.3400878906,574.0638533727378,0.9030956619950902,2.3721769390109966,-0.0658936049931377,-0.06493151530566284,0.956551175625384,2.8824110119601976,-0.03203644390736788,0.006884375259648785,9.270033458243761,6.456019973376708,1.2968355240528213,1.4358743461871963,186.65058235504586,50.4628577134322,0.9210761379668558,0.9908466819221968,3.693662126670377
