LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID87561,87561,0,0.9210287928581238,166.7056995882441,249.18244204793018,0.0,0.0,0,8.655499018540771,1,,249.8420739588147,259.4963073730469,-19.138580322265625,439.9560546875,135164.56201171875,80.12275647468702,3.8160784539806203,2.585968017578125,-53.94194030761719,147.6900634765625,2064.4984436035156,21.576021601372815,1390.3678262819865,1459.3197021484375,170.64715576171875,2033.316162109375,752188.9940185547,342.74243900239605,0.8994552619348343,2.9531818309987536,-0.36095542071124026,-0.1998013117297534,0.9238140807453454,3.895949336280598,0.00538264495866904,9.24070514055042E-4,9.642501490495864,7.825685362454575,1.7715191234803895,1.2321606407482033,235.36078052160514,55.51441274175333,0.9596932929723475,0.9945355191256825,3.618584363371392
ID87560,87560,1,0.9323838353157043,204.3450903363432,301.5824208988946,0.0,0.0,0,10.584586212802993,1,,377.3385600124213,396.27386474609375,21.96014404296875,633.6074829101562,305266.8950500488,123.53731436929696,10.783212574509667,8.907470703125,-47.70994567871094,103.44761657714844,8723.61897277832,25.029790595779605,4082.932394925979,4084.3583984375,801.8712158203125,7145.35546875,3303092.307495117,963.0627686862308,0.871033718758384,2.8439134870339275,-0.34705089671800904,-0.4579676351949677,0.9323086107234845,4.091012411747948,-0.013225131714514548,0.008144514474213096,11.732338859331719,9.616533167707377,-1.2296307831246345,1.2200175109601124,351.9635115309349,67.8236117765288,0.9614920094910296,0.9945188794153463,3.6151980354809834
ID87563,87563,2,0.9148686528205872,195.115292964519,276.3556925870262,0.0,0.0,0,8.893965611743175,1,,315.5305037976961,326.5269470214844,-58.363067626953125,534.2152709960938,182376.63119506836,113.67570862838399,5.638585206134096,3.4880218505859375,-56.819000244140625,95.89170837402344,3259.102249145508,22.039053072826928,2974.758862769315,3020.314697265625,219.10662841796875,5083.0703125,1719410.622680664,871.5621373634202,0.8742715679478656,2.5895095332957547,-0.6050744519499194,-0.7839724462325308,0.941421494033584,3.310150071048302,-0.04835948399065842,-0.02525307591366759,10.716238793629726,7.453284222430279,-1.1385508116707286,1.4377874872099674,248.50822338957025,58.39057263405192,0.915936065219667,0.9905498281786941,3.7040117193644098
ID87562,87562,3,0.9155945777893066,199.80044178657258,231.8647315889018,0.0,0.0,0,8.917076864942205,1,,179.52667754650943,177.19403076171875,1.450653076171875,354.3680419921875,103586.89294433594,63.42937590598374,4.706678129358143,1.8983154296875,-48.38044738769531,80.88523864746094,2715.7532806396484,21.347528605268277,1315.8062634658152,1366.457275390625,202.79815673828125,1965.541259765625,759220.2140197754,300.5773573226912,0.8604877356350734,2.6181011668210252,-0.36444539038707396,-0.25285787260552234,0.968089616354633,4.306618237174344,0.02270216945878883,-0.0036052843997480552,10.543359911099355,7.603970926369062,-1.4528683817605696,1.3865597348008099,249.80141449133728,57.853403356020124,0.9378792608105064,0.9948497854077252,3.660424603333832
ID87565,87565,4,0.9062950611114502,308.30094328956767,120.92964798615087,0.0,0.0,0,8.507599206986647,1,,183.02596953595744,181.85830688476562,-34.50592041015625,431.1274108886719,96820.73788452148,77.2796292952868,3.72975106771141,4.27239990234375,-49.469482421875,81.07929992675781,1973.038314819336,20.396767047471293,332.3691322600684,345.36676025390625,28.177734375,537.9129638671875,175823.27096557617,92.96222145794877,0.820889724326735,2.1353981191023568,-0.2752098345169567,-0.1388673551658397,0.9059954535178376,3.398977921924724,0.007262080056259767,-0.01351383006592126,9.465494128630684,7.706181507307797,0.9788547369668855,1.2282988818333083,227.38610206070814,54.5859045828349,0.9589870829434057,0.9924741298212603,3.6199165034568277
ID87564,87564,5,0.9109936356544495,105.41136080882643,103.63052958432561,0.0,0.0,0,11.137302235061194,1,,533.6558501017028,574.4530029296875,50.003662109375,889.92919921875,482958.544342041,170.13537533454075,18.273723623370596,17.976730346679688,-42.51362609863281,125.43057250976562,16537.71987915039,20.832304105438606,2974.0961683410305,3032.66259765625,276.42626953125,5288.908203125,2691557.032348633,772.9289378217975,0.8034487230897065,2.7948017917411643,-0.19741743594185399,-0.43153450555560746,0.9598158916480442,3.7689302240266294,0.005587404807411032,-0.0061146601887679865,12.70836775434973,9.839264992634208,-0.7407956192903433,1.2915972650257277,389.68158533247447,71.74022500639843,0.9514682013731274,0.9917718047174985,3.63419137020123
ID87567,87567,6,0.9047619700431824,151.20981046063676,227.11929984808492,0.0,0.0,0,8.882387435068427,1,,231.09028160860794,236.81906127929688,-7.5325927734375,434.0091247558594,133570.1827697754,76.8849882081219,10.034213768982145,8.802658081054688,-40.275726318359375,93.12191772460938,5799.77555847168,20.2754944772976,1146.535625629359,1181.317138671875,207.03118896484375,1883.1290283203125,662697.5916137695,297.16171896644215,0.8607766879946062,2.78077829879971,-0.06364549813083005,-0.06727741204801792,0.9723048452848108,3.8041102575223635,0.016638092785806337,0.07486283607383817,11.476763060322087,6.932559516364905,-1.314109866727639,1.6554871304357643,247.86162783868676,59.31894512461203,0.885181488297419,0.9905254091300602,3.7678080573490824
