LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID749672,749672,,0.8129526376724243,2.439705067664295,126.50592760076404,0.0,0.0,0,4.468145292203707,1,,8023.215259630927,8310.2578125,2183.13427734375,12831.8115234375,1163366.2126464844,2828.573668567988,1988.973064975081,2084.8671875,602.2023315429688,3183.1328125,288401.0944213867,702.1812208003782,2536.2741459287445,2711.62353515625,823.691650390625,3797.38232421875,367759.75115966797,805.857115944721,0.5688177530725353,2.0568924923656065,0.5577433033876819,2.028374577492281,0.5756941454187207,2.2997892341374713,0.07405081246566113,-0.042322891192395996,6.199864785188569,3.252068174908107,-1.5568331424850155,1.9064375196758467,62.71976843570244,33.343323630210186,0.7089188672331841,0.9635761589403974,4.210238173286486
ID749667,749667,0,0.8633954524993896,217.41132241113755,152.5640299489364,0.0,0.0,0,9.186146093197062,1,,248.50381703330174,249.576171875,-15.100616455078125,507.0863952636719,152581.34365844727,96.29976295836651,5.904051019625089,3.920928955078125,-52.224029541015625,81.92576599121094,3625.0873260498047,20.32008784196318,652.7404142994834,657.6669921875,83.38864135742188,1046.697509765625,400782.6143798828,162.24337536976478,0.8504681389146376,2.371997778020932,-0.2453069087219653,-0.18888345657123845,0.9262800808837451,3.869246662401007,0.005374717249097077,2.8817879333063105E-4,11.486587285652831,7.421985334617046,0.2883413353888563,1.5476434899538247,265.1041758622475,61.08958757901354,0.8926722747435379,0.9903381642512079,3.751966126560107
ID749666,749666,1,0.865462064743042,152.33723552691868,112.18131266542163,0.0,0.0,0,8.503566213535565,1,,368.45993343686877,380.9769287109375,15.653564453125,670.217529296875,193809.92498779297,137.82745044627643,2.081230424656161,1.95220947265625,-57.34861755371094,91.95526123046875,1094.7272033691406,21.92017323124045,808.2678043379983,817.3453369140625,137.31796264648438,1436.664794921875,425148.8650817871,227.73520876092252,0.8688303320677623,2.485705323455896,-0.5370980901666893,-0.2203285697357483,0.8438037736123296,3.2484924365572483,0.019348866089699435,0.02862027530254184,11.56092305323403,6.312325954619135,0.16109931057171623,1.8314838518080896,227.17057021041364,58.31406243349544,0.8394896327275015,0.9850467289719625,3.868986937146761
ID749665,749665,2,0.8734808564186096,319.54873601740456,327.5173975696406,0.0,0.0,0,9.096083662537973,1,,181.36849778861054,184.69326782226562,-33.584075927734375,402.2928161621094,109727.94116210938,81.62097882095847,-3.1357484171213197,-3.705169677734375,-66.77783203125,86.81790161132812,-1897.1277923583984,25.86537041184428,290.8447422500484,296.0729675292969,-1.6234130859375,488.02557373046875,175961.0690612793,85.04644647738957,0.64296236215628,1.7391938430164964,3.224954137084382,-0.18507768092236077,0.6142046334060355,2.602492817515192,0.026762476379244247,0.0121232521441093,10.507413263259732,7.931622382443768,-0.9427868077774785,1.3247495602560886,259.93141145517944,59.34975365629672,0.9273224794689942,0.9925925925925922,3.681201057650033
ID749664,749664,3,0.8773520588874817,177.7846150021814,156.49773608983406,0.0,0.0,0,8.993685462034573,1,,208.31176980985265,211.830322265625,-14.997589111328125,421.2659912109375,122487.32064819336,81.60290892823456,5.993303389776321,5.6170806884765625,-57.903717041015625,79.94969177246094,3524.0623931884766,21.11832624543164,787.158859927638,806.9952392578125,67.66201782226562,1230.13916015625,462849.4096374512,215.45710013435456,0.8700054305115774,2.375293386769738,-0.08967758432199735,-0.0559146264545085,0.9417241134998725,3.5437880586678996,-0.0037593124970375664,-0.0340020580194682,12.796193639954373,6.421346634611402,-1.4400628596984502,1.9927585860234056,254.1120514972275,62.506450297851124,0.8173074427210046,0.9874371859296485,3.9211387046457045
ID749671,749671,4,0.8239153623580933,111.22520476567811,169.61536723859055,0.0,0.0,0,8.442840136289458,1,,187.11420119591202,188.26394653320312,-15.255615234375,351.1966552734375,96925.15621948242,65.08614443432661,-1.4136053254705598,-3.2505645751953125,-52.361053466796875,93.2064208984375,-732.24755859375,22.01432078004934,680.1032381389132,692.5279541015625,35.200225830078125,1143.934814453125,352293.47735595703,175.9278304437128,0.8886315363112889,2.705345173700454,-1.9164272854489783,-0.26856363850149234,0.9291217837520035,3.72377377154724,0.033784876967525065,0.030275529493764625,12.05818647464384,5.9905133320465795,-0.836507854342306,2.012880333666551,223.93759245599603,58.806689263001864,0.8137357737711807,0.9848341232227487,3.9297346615041766
ID749670,749670,5,0.8375413417816162,145.73053263413465,156.9414305939012,0.0,0.0,0,8.917076864942203,1,,239.35719426032995,252.3232421875,-21.425933837890625,446.4774169921875,138348.4582824707,91.07134917312834,-0.788423848399654,-2.437530517578125,-57.64640808105469,75.47476196289062,-455.708984375,20.86770785528291,610.346053126774,631.0469360351562,42.154296875,1040.476806640625,352780.0187072754,182.00157125999354,0.8983061538563303,2.4874412370895627,-1.3683914291004349,-0.2806828178797946,0.917335312607215,3.208935883539975,-0.10546535614239246,-0.03199036513623913,12.19781086869279,6.570560721857722,2.6911349886778515,1.8564337786447016,249.80141449133723,61.24458491088459,0.8368919032717402,0.9863829787234036,3.874986991676127
